client_id,segment,avg_monthly_balance,txn_frequency_monthly
CLTIND00193,dormant,2519.79,8
CLTIND00194,dormant,14333.3,18
CLTIND00195,dormant,1266.23,8
CLTIND00196,dormant,1060.21,5
CLTIND00197,dormant,444.66,11
CLTIND00200,dormant,1856.57,10
CLTIND00201,dormant,22912.3,10
CLTIND00202,dormant,2404.37,10
CLTIND00203,dormant,486.92,9
CLTIND00204,dormant,1602.16,3
CLTIND00205,dormant,1489.43,18
CLTIND00206,dormant,7198.94,15
CLTIND00208,dormant,2315.17,13
CLTIND00209,dormant,3091.5,8
CLTIND00210,dormant,4155.52,11
CLTIND00211,dormant,3760.6,15
CLTIND00212,dormant,26637.55,10
CLTIND00213,dormant,12591.78,12
CLTIND00214,dormant,2448.0,9
CLTIND00215,dormant,17534.43,9
CLTIND00216,dormant,5840.76,25
CLTIND00217,dormant,2002.39,17
CLTIND00218,dormant,1961.18,5
CLTIND00220,dormant,2559.43,10
CLTIND00222,dormant,1293.67,7
CLTIND00223,dormant,5446.83,8
CLTIND00224,dormant,5193.85,18
CLTIND00225,dormant,732.81,10
CLTIND00226,dormant,9060.04,15
CLTIND00227,dormant,8708.74,13
CLTIND00228,dormant,1197.79,7
CLTIND00229,dormant,297.78,11
CLTIND00231,dormant,13229.88,9
CLTIND00232,dormant,3493.7,9
CLTIND00233,dormant,1113.61,15
CLTIND00234,dormant,2550.26,12
CLTIND00235,dormant,3007.74,11
CLTIND00236,dormant,408.72,8
CLTIND00237,dormant,4023.21,10
CLTIND00238,dormant,8620.15,15
CLTIND00239,dormant,1269.13,11
CLTIND00240,dormant,525.26,15
CLTIND00243,dormant,486.76,5
CLTIND00244,dormant,9745.43,3
CLTIND00245,dormant,13234.66,15
CLTIND00246,dormant,1358.1,4
CLTIND00248,dormant,2435.04,11
CLTIND00249,dormant,16287.8,14
CLTIND00250,dormant,5275.81,9
CLTIND00251,dormant,748.87,9
CLTIND00252,dormant,1731.44,7
CLTIND00253,dormant,19531.53,7
CLTIND00254,dormant,1790.96,8
CLTIND00255,dormant,2794.19,21
CLTIND00256,dormant,1125.76,10
CLTIND00257,dormant,8211.41,8
CLTIND00258,dormant,3979.89,9
CLTIND00259,dormant,467.81,8
CLTIND00260,dormant,10666.42,20
CLTIND00261,dormant,4339.87,12
CLTIND00262,dormant,977.88,13
CLTIND00263,dormant,8338.17,17
CLTIND00264,dormant,375.47,15
CLTIND00265,dormant,3971.29,19
CLTIND00266,dormant,724.37,8
CLTIND00268,dormant,1132.84,12
CLTIND00269,dormant,1005.65,5
CLTIND00270,dormant,20726.43,8
CLTIND00271,dormant,1701.38,10
CLTIND00273,dormant,3176.64,10
CLTIND00274,dormant,1195.99,14
CLTIND00275,dormant,101327.05,11
CLTIND00277,dormant,921.54,7
CLTIND00278,dormant,1810.83,9
CLTIND00279,dormant,4994.28,16
CLTIND00280,dormant,3872.11,20
CLTIND00281,dormant,8791.82,6
CLTIND00282,dormant,7294.75,12
CLTIND00283,dormant,3122.38,19
CLTIND00284,dormant,508.6,6
CLTIND00285,dormant,79902.81,16
CLTIND00286,dormant,51611.16,19
CLTIND00287,dormant,10658.71,9
CLTIND00288,dormant,21142.67,21
CLTIND00290,dormant,1819.47,9
CLTIND00291,dormant,827.49,14
CLTIND00292,dormant,11047.36,20
CLTIND00293,dormant,4713.26,15
CLTIND00295,dormant,10211.04,12
CLTIND00297,dormant,491.39,11
CLTIND00300,dormant,44867.1,20
CLTIND00301,dormant,284.52,7
CLTIND00302,dormant,12994.27,21
CLTIND00303,dormant,3421.76,13
CLTIND00304,dormant,2164.4,5
CLTIND00305,dormant,23962.47,12
CLTIND00306,dormant,4600.97,13
CLTIND00308,dormant,9744.86,13
CLTIND00309,dormant,4617.38,14
CLTIND00311,dormant,437.61,7
CLTIND00312,dormant,21101.13,10
CLTIND00313,dormant,3646.32,11
CLTIND00314,dormant,12225.04,9
CLTIND00316,dormant,6184.63,18
CLTIND00317,dormant,1326.84,8
CLTIND00318,dormant,2008.65,15
CLTIND00319,dormant,8489.45,15
CLTIND00320,dormant,1667.31,26
CLTIND00323,dormant,2981.56,14
CLTIND00324,dormant,1109.46,5
CLTIND00326,dormant,389.64,14
CLTIND00327,dormant,2917.07,21
CLTIND00330,dormant,3570.09,6
CLTIND00332,dormant,5185.56,10
CLTIND00333,dormant,2193.85,7
CLTIND00334,dormant,975.89,20
CLTIND00335,dormant,3995.87,5
CLTIND00336,dormant,2802.08,14
CLTIND00337,dormant,4296.27,12
CLTIND00338,dormant,2727.32,7
CLTIND00339,dormant,1222.53,7
CLTIND00340,dormant,10191.9,22
CLTIND00341,dormant,108188.78,12
CLTIND00342,dormant,11523.25,13
CLTIND00343,dormant,3406.23,7
CLTIND00344,dormant,10605.88,5
CLTIND00345,dormant,1228.01,14
CLTIND00346,dormant,15033.47,9
CLTIND00347,dormant,2650.34,15
CLTIND00350,dormant,2153.54,17
CLTIND00352,dormant,2302.99,6
CLTIND00353,dormant,6842.69,2
CLTIND00354,dormant,1725.54,14
CLTIND00355,dormant,2191.41,24
CLTIND00356,dormant,3229.99,11
CLTIND00357,dormant,7968.95,9
CLTIND00358,dormant,2817.75,18
CLTIND00359,dormant,4792.47,8
CLTIND00361,dormant,2804.48,7
CLTIND00362,dormant,3931.68,2
CLTIND00363,dormant,1843.5,5
CLTIND00364,dormant,24766.09,10
CLTIND00365,dormant,1394.59,13
CLTIND00366,dormant,1587.7,25
CLTIND00367,dormant,1559.2,6
CLTIND00369,dormant,3771.82,15
CLTIND00370,dormant,16652.35,16
CLTIND00371,dormant,8856.53,5
CLTIND00372,dormant,1518.64,6
CLTIND00373,dormant,3664.78,7
CLTIND00374,dormant,5823.74,8
CLTIND00375,dormant,3421.87,2
CLTIND00376,dormant,4039.83,8
CLTIND00377,dormant,1075.24,8
CLTIND00378,dormant,8104.46,15
CLTIND00379,dormant,4917.51,27
CLTIND00380,dormant,2984.42,17
CLTIND00381,dormant,5401.54,7
CLTIND00383,dormant,5388.67,6
CLTIND00384,dormant,8183.97,16
CLTIND00385,dormant,1517.39,5
CLTIND00386,dormant,1191.15,10
CLTIND00388,dormant,4421.92,8
CLTIND00390,dormant,9247.9,13
CLTIND00391,dormant,6956.04,5
CLTIND00392,dormant,2193.39,12
CLTIND00393,dormant,2713.21,23
CLTIND00394,dormant,3646.56,6
CLTIND00395,dormant,503.52,11
CLTIND00396,dormant,1244.29,18
CLTIND00397,dormant,6294.09,13
CLTIND00398,dormant,2054.59,11
CLTIND00399,dormant,4787.35,12
CLTIND00400,dormant,23629.97,3
CLTIND00401,dormant,4651.56,15
CLTIND00402,dormant,231.79,4
CLTIND00403,dormant,11251.86,8
CLTIND00405,dormant,6938.83,9
CLTIND00406,dormant,1610.81,5
CLTIND00407,dormant,20573.93,24
CLTIND00408,dormant,8651.98,7
CLTIND00411,dormant,2187.11,6
CLTIND00412,dormant,909.58,15
CLTIND00413,dormant,969.09,4
CLTIND00414,dormant,642.74,12
CLTIND00415,dormant,2764.23,16
CLTIND00416,dormant,645.16,22
CLTIND00417,dormant,3784.59,9
CLTIND00418,dormant,602.8,9
CLTIND00419,dormant,8956.44,11
CLTIND00420,dormant,776.71,1
CLTIND00421,dormant,3222.55,20
CLTIND00423,dormant,6198.92,12
CLTIND00424,dormant,2024.91,6
CLTIND00425,dormant,5322.21,11
CLTIND00426,dormant,403.21,10
CLTIND00427,dormant,294.09,20
CLTIND00428,dormant,1940.56,4
CLTIND00429,dormant,4492.79,11
CLTIND00430,dormant,1923.25,10
CLTIND00431,dormant,4137.84,24
CLTIND00432,dormant,4294.93,14
CLTIND00434,dormant,1798.71,11
CLTIND00435,dormant,1769.19,9
CLTIND00436,dormant,17978.81,11
CLTIND00437,dormant,601.46,11
CLTIND00438,dormant,3267.63,16
CLTIND00439,dormant,1215.45,13
CLTIND00440,dormant,540.89,15
CLTIND00441,dormant,11755.93,25
CLTIND00442,dormant,1940.17,4
CLTIND00443,dormant,2932.94,8
CLTIND00444,dormant,212.03,7
CLTIND00445,dormant,3717.81,13
CLTIND00446,dormant,1738.83,4
CLTIND00447,dormant,5603.48,18
CLTIND00448,dormant,3522.01,18
CLTIND00449,dormant,3398.51,10
CLTIND00450,dormant,2215.82,6
CLTIND00452,dormant,344.27,5
CLTIND00455,dormant,2803.09,10
CLTIND00456,dormant,1488.53,14
CLTIND00457,dormant,1623.85,4
CLTIND00458,dormant,1290.74,16
CLTIND00459,dormant,1129.46,16
CLTIND00460,dormant,4519.26,8
CLTIND00461,dormant,6838.73,11
CLTIND00462,dormant,4614.59,13
CLTIND00463,dormant,555.5,8
CLTIND00464,dormant,5089.49,11
CLTIND00466,dormant,556.43,12
CLTIND00467,dormant,4130.39,10
CLTIND00468,dormant,2459.94,8
CLTIND00469,dormant,1826.18,10
CLTIND00470,dormant,3538.39,13
CLTIND00473,dormant,3101.99,9
CLTIND00475,dormant,668.91,10
CLTIND00476,dormant,1277.11,10
CLTIND00477,dormant,2864.68,5
CLTIND00478,dormant,1917.85,9
CLTIND00479,dormant,9405.67,8
CLTIND00480,dormant,554.07,10
CLTIND00481,dormant,3805.66,8
CLTIND00483,dormant,2511.85,15
CLTIND00484,dormant,1016.83,14
CLTIND00485,dormant,491.58,9
CLTIND00486,dormant,505.43,2
CLTIND00487,dormant,6682.61,11
CLTIND00488,dormant,29653.96,17
CLTIND00489,dormant,2907.03,11
CLTIND00490,dormant,6623.79,9
CLTIND00491,dormant,2794.96,10
CLTIND00493,dormant,9874.91,13
CLTIND00495,dormant,960.26,13
CLTIND00496,dormant,1858.57,7
CLTIND00497,dormant,1877.04,6
CLTIND00498,dormant,5574.41,5
CLTIND00499,dormant,2391.83,10
CLTIND00500,dormant,1007.72,10
CLTIND00502,dormant,734.8,13
CLTIND00503,dormant,3191.12,15
CLTIND00505,dormant,6689.62,9
CLTIND00506,dormant,1096.77,6
CLTIND00507,dormant,5084.78,19
CLTIND00508,dormant,8517.72,10
CLTIND00510,dormant,3539.47,16
CLTIND00511,dormant,5769.3,8
CLTIND00512,dormant,33075.68,13
CLTIND00513,dormant,2741.25,5
CLTIND00514,dormant,3062.15,16
CLTIND00515,dormant,1056.59,4
CLTIND00517,dormant,33770.74,7
CLTIND00520,dormant,14372.9,9
CLTIND00521,dormant,7528.15,13
CLTIND00522,dormant,2479.26,5
CLTIND00523,dormant,2190.39,17
CLTIND00524,dormant,24443.39,11
CLTIND00525,dormant,961.64,7
CLTIND00526,dormant,16585.08,19
CLTIND00528,dormant,5849.42,3
CLTIND00529,dormant,6566.11,4
CLTIND00532,dormant,1157.69,12
CLTIND00533,dormant,4438.66,5
CLTIND00534,dormant,6130.56,10
CLTIND00535,dormant,1382.67,14
CLTIND00536,dormant,3252.43,8
CLTIND00537,dormant,1873.8,18
CLTIND00538,dormant,437.46,5
CLTIND00539,dormant,21891.4,5
CLTIND00540,dormant,5958.29,20
CLTIND00541,dormant,3413.32,9
CLTIND00544,dormant,9695.65,10
CLTIND00545,dormant,2403.71,9
CLTIND00546,dormant,3065.78,6
CLTIND00547,dormant,5643.21,16
CLTIND00548,dormant,2669.68,6
CLTIND00550,dormant,3094.62,20
CLTIND00551,dormant,2665.26,4
CLTIND00553,dormant,555.63,14
CLTIND00554,dormant,4115.69,13
CLTIND00555,dormant,4317.69,15
CLTIND00557,dormant,1445.87,12
CLTIND00558,dormant,5065.02,7
CLTIND00559,dormant,2317.73,8
CLTIND00560,dormant,983.23,16
CLTIND00561,dormant,2713.17,5
CLTIND00562,dormant,1988.73,15
CLTIND00563,dormant,4260.26,16
CLTIND00564,dormant,5612.35,12
CLTIND00565,dormant,12810.96,11
CLTIND00566,dormant,973.92,5
CLTIND00567,dormant,22394.38,22
CLTIND00568,dormant,6877.48,11
CLTIND00569,dormant,1481.17,14
CLTIND00571,dormant,9613.93,9
CLTIND00572,dormant,9077.12,6
CLTIND00573,dormant,5582.49,8
CLTIND00574,dormant,834.52,9
CLTIND00575,dormant,555.53,15
CLTIND00576,dormant,5873.9,24
CLTIND00577,dormant,4443.17,15
CLTIND00578,dormant,2628.65,7
CLTIND00579,dormant,417.34,2
CLTIND00580,dormant,502.55,8
CLTIND00581,dormant,422.2,13
CLTIND00582,dormant,17396.02,12
CLTIND00583,dormant,1708.76,9
CLTIND00586,dormant,4132.31,7
CLTIND00589,dormant,1745.85,12
CLTIND00590,dormant,858.8,6
CLTIND00591,dormant,16276.48,23
CLTIND00592,dormant,990.24,13
CLTIND00595,dormant,4150.27,10
CLTIND00596,dormant,1043.8,13
CLTIND00597,dormant,4129.88,11
CLTIND00598,dormant,2774.68,5
CLTIND00599,dormant,2368.15,6
CLTIND00600,dormant,238.74,10
CLTIND00601,dormant,13863.17,9
CLTIND00602,dormant,2176.47,5
CLTIND00603,dormant,602.12,19
CLTIND00604,dormant,1160.65,5
CLTIND00605,dormant,2994.03,13
CLTIND00606,dormant,1587.01,17
CLTIND00607,dormant,8056.17,11
CLTIND00608,dormant,2647.74,12
CLTIND00609,dormant,1076.76,9
CLTIND00610,dormant,8568.59,9
CLTIND00611,dormant,3555.11,8
CLTIND00612,dormant,920.13,14
CLTIND00613,dormant,3082.62,14
CLTIND00614,dormant,902.52,13
CLTIND00615,dormant,2002.71,9
CLTIND00617,dormant,4767.08,10
CLTIND00619,dormant,696.76,17
CLTIND00621,dormant,14168.73,20
CLTIND00622,dormant,8449.1,16
CLTIND00623,dormant,5990.33,4
CLTIND00624,dormant,2189.53,4
CLTIND00625,dormant,2130.37,4
CLTIND00626,dormant,7079.35,3
CLTIND00628,dormant,1328.59,13
CLTIND00629,dormant,60513.34,9
CLTIND00630,dormant,508.37,8
CLTIND00631,dormant,4806.96,17
CLTIND00632,dormant,1675.11,14
CLTIND00634,dormant,3079.77,9
CLTIND00635,dormant,1996.82,8
CLTIND00639,dormant,24089.27,10
CLTIND00640,dormant,1056.12,15
CLTIND00642,dormant,3190.34,8
CLTIND00643,dormant,3129.06,3
CLTIND00646,dormant,3724.59,9
CLTIND00647,dormant,2217.87,13
CLTIND00648,dormant,1588.39,8
CLTIND00650,dormant,2327.0,10
CLTIND00651,dormant,6506.77,10
CLTIND00653,dormant,3215.25,13
CLTIND00654,dormant,3003.34,14
CLTIND00655,dormant,13882.45,5
CLTIND00656,dormant,6013.34,6
CLTIND00657,dormant,1170.8,13
CLTIND00658,dormant,2790.82,19
CLTIND00659,dormant,2244.57,8
CLTIND00660,dormant,136.05,12
CLTIND00661,dormant,4499.66,3
CLTIND00662,dormant,7216.49,12
CLTIND00663,dormant,4953.24,13
CLTIND00664,dormant,933.72,11
CLTIND00665,dormant,1482.49,7
CLTIND00666,dormant,3767.65,3
CLTIND00667,dormant,1494.18,7
CLTIND00668,dormant,11227.35,3
CLTIND00669,dormant,5885.01,19
CLTIND00670,dormant,7117.62,8
CLTIND00671,dormant,4568.13,7
CLTIND00673,dormant,6217.35,10
CLTIND00674,dormant,5037.0,6
CLTIND00675,dormant,11053.95,12
CLTIND00676,dormant,5881.79,8
CLTIND00677,dormant,4677.97,10
CLTIND00678,dormant,17337.35,20
CLTIND00679,dormant,4222.84,14
CLTIND00682,dormant,12890.0,12
CLTIND00683,dormant,3670.55,3
CLTIND00684,dormant,22126.14,9
CLTIND00685,dormant,4982.37,13
CLTIND00687,dormant,477.2,8
CLTIND00688,dormant,4085.04,4
CLTIND00689,dormant,5942.61,4
CLTIND00690,dormant,298.16,11
CLTIND00691,dormant,479.65,11
CLTIND00693,dormant,2230.21,11
CLTIND00694,dormant,6593.68,6
CLTIND00695,dormant,2546.58,12
CLTIND00696,dormant,1141.96,8
CLTIND00697,dormant,3384.05,28
CLTIND00698,dormant,3064.4,11
CLTIND00699,dormant,3798.54,6
CLTIND00700,dormant,5471.01,14
CLTIND00701,dormant,2035.98,9
CLTIND00702,dormant,6610.45,5
CLTIND00703,dormant,2685.03,6
CLTIND00704,dormant,3261.51,5
CLTIND00705,dormant,22292.91,23
CLTIND00707,dormant,2599.59,15
CLTIND00709,dormant,2037.05,10
CLTIND00710,dormant,2908.49,13
CLTIND00711,dormant,1639.26,9
CLTIND00712,dormant,3679.48,7
CLTIND00713,dormant,15587.89,16
CLTIND00714,dormant,474.99,4
CLTIND00715,dormant,2881.61,10
CLTIND00716,dormant,4030.18,9
CLTIND00717,dormant,2352.72,8
CLTIND00718,dormant,4064.37,15
CLTIND00719,dormant,1965.39,7
CLTIND00720,dormant,13893.22,13
CLTIND00721,dormant,3231.11,15
CLTIND00722,dormant,2640.4,8
CLTIND00723,dormant,23444.6,10
CLTIND00724,dormant,6438.07,18
CLTIND00725,dormant,271.73,8
CLTIND00726,dormant,8792.79,23
CLTIND00727,dormant,5892.7,9
CLTIND00728,dormant,1484.54,11
CLTIND00729,dormant,984.65,2
CLTIND00732,dormant,6559.65,7
CLTIND00733,dormant,4174.67,5
CLTIND00734,dormant,1447.74,6
CLTIND00735,dormant,1912.03,12
CLTIND00736,dormant,1539.57,4
CLTIND00737,dormant,2108.84,9
CLTIND00738,dormant,4830.88,5
CLTIND00739,dormant,1788.34,16
CLTIND00740,dormant,2736.59,5
CLTIND00742,dormant,4957.71,14
CLTIND00743,dormant,4923.16,16
CLTIND00744,dormant,4517.85,16
CLTIND00745,dormant,776.02,9
CLTIND00746,dormant,6932.7,17
CLTIND00747,dormant,13518.34,9
CLTIND00748,dormant,4612.76,3
CLTIND00749,dormant,1516.54,8
CLTIND00751,dormant,843.4,10
CLTIND00752,dormant,492.99,7
CLTIND00753,dormant,7086.18,5
CLTIND00754,dormant,1308.78,18
CLTIND00755,dormant,802.44,1
CLTIND00756,dormant,6908.45,7
CLTIND00757,dormant,18062.5,20
CLTIND00758,dormant,2009.59,4
CLTIND00760,dormant,10238.71,20
CLTIND00761,dormant,57696.3,18
CLTIND00762,dormant,726.64,12
CLTIND00764,dormant,5140.62,12
CLTIND00765,dormant,324.4,8
CLTIND00766,dormant,2444.32,10
CLTIND00767,dormant,3147.57,6
CLTIND00768,dormant,3117.54,5
CLTIND00769,dormant,7145.91,24
CLTIND00770,dormant,1744.69,19
CLTIND00771,dormant,2216.4,21
CLTIND00772,dormant,1725.16,10
CLTIND00773,dormant,1652.93,7
CLTIND00774,dormant,9993.42,12
CLTIND00775,dormant,21886.43,12
CLTIND00776,dormant,8559.37,6
CLTIND00777,dormant,1934.96,6
CLTIND00778,dormant,10264.76,15
CLTIND00779,dormant,1169.38,2
CLTIND00780,dormant,3514.19,13
CLTIND00781,dormant,14409.2,20
CLTIND00782,dormant,9080.96,11
CLTIND00783,dormant,2186.55,13
CLTIND00784,dormant,4018.33,13
CLTIND00785,dormant,2098.98,27
CLTIND00787,dormant,12474.45,15
CLTIND00788,dormant,2208.27,14
CLTIND00789,dormant,5665.79,9
CLTIND00790,dormant,3312.68,23
CLTIND00791,dormant,9963.77,12
CLTIND00793,dormant,26635.33,11
CLTIND00794,dormant,8407.53,11
CLTIND00795,dormant,355.85,8
CLTIND00796,dormant,2707.83,12
CLTIND00797,dormant,3415.82,16
CLTIND00799,dormant,8078.08,2
CLTIND00800,dormant,3236.21,13
CLTIND00801,dormant,2015.36,19
CLTIND00802,dormant,5409.7,9
CLTIND00803,dormant,2279.69,8
CLTIND00804,dormant,5741.96,15
CLTIND00805,dormant,2462.58,8
CLTIND00806,dormant,417.24,10
CLTIND00807,dormant,3468.47,21
CLTIND00808,dormant,3614.5,6
CLTIND00809,dormant,5507.16,5
CLTIND00810,dormant,3811.57,11
CLTIND00811,dormant,644.72,11
CLTIND00814,dormant,3969.26,7
CLTIND00815,dormant,1234.12,9
CLTIND00816,dormant,2391.79,14
CLTIND00817,dormant,3678.01,18
CLTIND00818,dormant,1086.96,11
CLTIND00819,dormant,2240.48,17
CLTIND00820,dormant,1894.55,5
CLTIND00821,dormant,1108.25,6
CLTIND00822,dormant,13131.2,17
CLTIND00823,dormant,1701.17,10
CLTIND00825,dormant,2906.73,12
CLTIND00826,dormant,2009.78,18
CLTIND00827,dormant,39638.52,5
CLTIND00828,dormant,1550.78,3
CLTIND00829,dormant,5049.14,13
CLTIND00830,dormant,2021.53,15
CLTIND00831,dormant,1971.67,10
CLTIND00832,dormant,1592.73,4
CLTIND00834,dormant,363.73,9
CLTIND00835,dormant,7733.16,16
CLTIND00836,dormant,3343.96,5
CLTIND00837,dormant,4763.24,13
CLTIND00838,dormant,5467.43,10
CLTIND00839,dormant,23615.86,28
CLTIND00841,dormant,1282.19,11
CLTIND00843,dormant,10175.33,8
CLTIND00844,dormant,11206.58,7
CLTIND00845,dormant,10568.24,29
CLTIND00847,dormant,12865.32,8
CLTIND00848,dormant,4337.48,20
CLTIND00849,dormant,1973.66,11
CLTIND00850,dormant,13630.59,14
CLTIND00851,dormant,4332.66,11
CLTIND00852,dormant,468.25,10
CLTIND00853,dormant,6180.65,15
CLTIND00854,dormant,34428.7,12
CLTIND00855,dormant,3565.87,10
CLTIND00857,dormant,6042.32,14
CLTIND00859,dormant,1779.86,8
CLTIND00862,dormant,1155.41,21
CLTIND00863,dormant,3661.83,14
CLTIND00864,dormant,4652.87,10
CLTIND00865,dormant,483.52,11
CLTIND00866,dormant,643.39,18
CLTIND00867,dormant,43032.65,17
CLTIND00869,dormant,1772.95,23
CLTIND00871,dormant,3084.86,15
CLTIND00872,dormant,4874.46,13
CLTIND00875,dormant,7041.54,9
CLTIND00876,dormant,591.34,9
CLTIND00878,dormant,3043.11,13
CLTIND00879,dormant,6170.22,13
CLTIND00880,dormant,82561.08,10
CLTIND00883,dormant,3951.08,8
CLTIND00884,dormant,3710.02,13
