client_id,segment,avg_monthly_balance,max_monthly_balance,txn_frequency_monthly,avg_txn_amount,days_since_last_txn
CLTIND00061,dormant,2361.03,3803.57,9,2187.33,222
CLTIND00062,regular,14985.59,37198.47,11,3047.0968181818184,4
CLTIND00063,priority,7855.41,10997.12,21,1768.23,20
CLTIND00064,regular,4335.8,8396.6,10,2297.15,23
CLTIND00065,dormant,1584.12,3156.72,4,2508.61,61
CLTIND00066,dormant,1108.25,1543.79,8,2476.96,109
CLTIND00067,dormant,6365.0,11492.57,8,2098.616,7
CLTIND00068,priority,23453.23,48387.95,16,3214.39,3
CLTIND00069,dormant,4057.27,7480.16,7,3081.4325,22
CLTIND00070,regular,10823.73,16788.91,20,3284.5099999999998,48
CLTIND00072,regular,4881.6,10655.79,12,3233.5844444444447,7
CLTIND00073,regular,4435.09,5380.14,19,2972.7566666666667,10
CLTIND00075,dormant,8552.28,19436.26,6,3661.706666666667,68
CLTIND00076,regular,5639.25,7055.25,19,3369.245,17
CLTIND00077,regular,1850.83,2812.61,10,3121.25,19
CLTIND00078,regular,3627.74,8724.46,16,5706.139999999999,82
CLTIND00079,regular,6226.22,8898.73,16,3370.505,13
CLTIND00081,dormant,2332.75,3250.64,6,2103.24,16
CLTIND00082,priority,16567.23,25018.47,29,3034.092857142857,9
CLTIND00083,dormant,1082.24,1865.99,4,1023.02,3
CLTIND00085,dormant,13655.87,19994.74,5,3163.773333333333,76
CLTIND00086,dormant,2188.46,3807.7,7,2778.77,31
CLTIND00088,priority,20451.46,46749.74,16,8117.344999999999,22
CLTIND00089,dormant,10696.25,18686.87,7,1075.025,90
CLTIND00090,dormant,2070.32,2592.19,7,3703.7485714285713,13
CLTIND00092,priority,5876.13,13437.32,17,1991.55,19
CLTIND00093,regular,2590.6,2908.51,12,3657.1233333333334,24
CLTIND00094,regular,1300.99,1896.07,14,2727.915,76
CLTIND00095,dormant,1612.22,3977.4,8,2198.7825,108
CLTIND00096,regular,5259.99,7520.55,13,1843.4824999999998,41
CLTIND00098,dormant,5878.07,12662.8,6,3214.016153846154,44
CLTIND00099,dormant,16061.57,35785.23,6,3711.9075,19
CLTIND00100,regular,1346.24,1875.51,15,1167.81,2
CLTIND00101,priority,7457.19,16796.65,21,3266.8799999999997,10
CLTIND00102,regular,3341.59,6750.98,12,1341.1375,10
CLTIND00103,regular,1537.14,3784.59,15,2103.2214285714285,6
CLTIND00104,regular,14258.55,17227.66,12,2948.5033333333336,4
CLTIND00106,dormant,646.31,1051.13,7,2507.668,20
CLTIND00107,dormant,8984.3,21868.93,15,2527.55,182
CLTIND00108,dormant,5885.6,7686.14,7,2574.63,71
CLTIND00109,dormant,1977.13,4107.18,4,3428.0633333333335,7
CLTIND00110,dormant,1600.79,3608.76,7,3500.036,4
CLTIND00111,regular,4032.07,7873.17,16,3541.0514285714285,85
CLTIND00112,regular,26884.49,48613.91,11,3512.49,36
CLTIND00113,dormant,271.84,643.13,8,3412.15,15
CLTIND00114,dormant,8392.09,13145.13,4,7901.08,66
CLTIND00116,dormant,4766.66,6911.04,9,3683.765,193
CLTIND00117,dormant,1440.19,2418.08,5,3932.12,3
CLTIND00118,priority,6878.86,14934.64,15,5157.975,4
CLTIND00119,dormant,7928.33,15459.75,5,2953.3900000000003,1
CLTIND00121,regular,16696.49,35451.75,9,4841.764,83
CLTIND00123,dormant,2075.44,3213.89,6,1603.1599999999999,52
CLTIND00124,regular,3233.09,4222.41,13,543.27,11
CLTIND00125,dormant,276.56,475.6,7,3300.124,4
CLTIND00126,regular,3661.48,6445.52,23,3051.7966666666666,15
CLTIND00127,regular,2197.66,3004.8,13,2210.67,4
CLTIND00128,dormant,2884.48,7163.23,4,6076.26,163
CLTIND00129,dormant,3784.56,7884.04,12,2300.4425,195
CLTIND00130,dormant,3097.88,4654.89,8,2953.22,13
CLTIND00131,regular,1105.13,2228.55,10,3499.082222222222,74
CLTIND00132,regular,4345.01,6863.81,10,3593.96,11
CLTIND00133,priority,15954.62,20870.71,14,3667.85,11
CLTIND00134,dormant,4950.56,8939.1,10,2369.9166666666665,148
CLTIND00135,regular,747.68,990.75,9,2465.695,40
CLTIND00137,regular,1111.48,2604.04,19,3277.7684615384615,5
CLTIND00138,dormant,3520.27,5156.24,4,3530.4800000000005,5
CLTIND00140,dormant,5118.87,11790.79,7,3046.2,140
CLTIND00141,dormant,5797.33,13251.67,6,4314.705,49
CLTIND00142,regular,19451.76,45456.19,11,2688.6844444444446,2
CLTIND00143,regular,530.36,1251.87,11,3619.165,38
CLTIND00144,regular,1727.84,3042.82,10,1339.43,24
CLTIND00145,regular,1881.87,3419.6,19,3214.415,84
CLTIND00146,dormant,2568.33,5749.19,6,4308.01,4
CLTIND00148,dormant,1161.34,2318.42,2,2526.897777777778,40
CLTIND00149,regular,574.84,911.3,10,1087.53,80
CLTIND00150,dormant,6607.3,13863.3,7,4756.7325,84
CLTIND00151,dormant,3686.65,4935.49,13,2836.21,110
CLTIND00152,regular,25267.15,61414.67,10,2471.6825,8
CLTIND00154,dormant,1677.41,2964.28,7,5021.75,15
CLTIND00155,regular,1149.4,1533.2,13,2300.745,39
CLTIND00156,dormant,2500.66,4996.61,7,2220.178,12
CLTIND00157,regular,4758.1,11014.64,14,3603.65,57
CLTIND00158,dormant,1871.52,3835.33,9,2745.35,107
CLTIND00159,dormant,46883.7,92795.48,11,1414.16,157
CLTIND00160,dormant,1610.85,2323.26,7,3535.6479999999997,174
CLTIND00161,regular,4501.32,6597.69,14,3199.8333333333335,5
CLTIND00162,regular,3001.67,4338.06,11,4586.386,22
CLTIND00163,dormant,6097.79,13175.5,7,1725.44,22
CLTIND00164,dormant,2094.89,2601.13,5,3425.725,95
CLTIND00165,priority,9067.15,17809.49,23,2860.054285714286,7
CLTIND00166,dormant,1274.37,1662.82,5,2891.81,13
CLTIND00168,dormant,4342.97,8782.76,8,1889.336,10
CLTIND00169,regular,278.41,562.28,10,1616.54,16
CLTIND00170,regular,1180.32,2303.16,10,5096.318,31
CLTIND00171,regular,5613.71,9774.32,12,5598.59,33
CLTIND00172,dormant,3118.53,4715.95,12,3024.63,117
CLTIND00173,regular,840.66,1998.51,12,2313.525,28
CLTIND00174,regular,4424.25,5967.56,17,1649.2033333333331,5
CLTIND00175,dormant,3854.79,9533.84,19,2675.1833333333334,114
CLTIND00176,regular,2084.95,4396.5,23,2319.6916666666666,61
CLTIND00178,regular,15881.77,33967.82,10,2923.625,39
CLTIND00179,dormant,3572.58,8844.18,6,1797.5124999999998,32
CLTIND00180,regular,631.85,1303.2,25,4041.67,9
CLTIND00182,regular,1200.19,2057.13,18,3398.183333333334,2
CLTIND00183,regular,13893.48,17785.13,16,1935.7849999999999,55
CLTIND00184,regular,1032.19,1494.38,10,3561.285,20
CLTIND00186,dormant,4280.32,5176.27,8,3742.985,10
CLTIND00188,dormant,10990.28,17277.07,8,3501.5950000000003,18
CLTIND00189,regular,2825.76,5775.77,11,5498.46,78
CLTIND00190,dormant,5084.39,10762.12,3,3882.861666666666,46
CLTIND00191,dormant,2700.71,3492.03,8,3823.56,32
CLTIND00192,dormant,13451.53,23375.49,10,3760.5166666666664,117
CLTIND00193,dormant,2519.79,5304.05,8,1076.73,20
CLTIND00194,priority,14333.3,30162.22,18,2081.48,7
CLTIND00195,dormant,1266.23,3111.02,8,3329.273333333333,151
CLTIND00196,dormant,1060.21,2414.2,5,5067.422500000001,3
CLTIND00197,regular,444.66,948.15,11,1953.1833333333332,47
CLTIND00200,regular,1856.57,2973.11,10,5345.82,8
CLTIND00201,regular,22912.3,56349.79,10,1934.56,68
CLTIND00202,regular,2404.37,3902.15,10,6773.83,5
CLTIND00203,regular,486.92,1102.37,9,7272.52,7
CLTIND00204,dormant,1602.16,3082.16,3,1123.17,113
CLTIND00205,dormant,1489.43,1643.89,18,1818.08,136
CLTIND00206,priority,7198.94,13478.7,15,2065.22,20
CLTIND00208,regular,2315.17,3348.06,13,1802.3879999999997,1
CLTIND00209,dormant,3091.5,4537.99,8,3952.497142857143,53
CLTIND00210,dormant,4155.52,9762.68,11,509.51,166
CLTIND00211,regular,3760.6,4536.96,15,1550.13,13
CLTIND00212,regular,26637.55,33839.92,10,978.01,18
CLTIND00213,regular,12591.78,21459.87,12,2516.4225,15
CLTIND00214,dormant,2448.0,4742.09,9,2934.111666666666,141
CLTIND00215,regular,17534.43,25582.39,9,2090.91,42
CLTIND00216,priority,5840.76,11166.46,25,2409.335,14
CLTIND00217,regular,2002.39,4512.68,17,3833.605,2
CLTIND00218,dormant,1961.18,4641.34,5,2585.206,27
CLTIND00220,regular,2559.43,5107.18,10,5733.014999999999,15
CLTIND00222,dormant,1293.67,2613.9,7,1444.0766666666666,129
CLTIND00223,dormant,5446.83,13431.02,8,3727.8050000000003,5
CLTIND00224,priority,5193.85,10656.92,18,1924.02,6
CLTIND00225,regular,732.81,1569.03,10,2556.17,28
CLTIND00226,regular,9060.04,19651.22,15,4344.122857142857,33
CLTIND00227,priority,8708.74,18289.37,13,2043.65,7
CLTIND00228,dormant,1197.79,2541.93,7,2940.8199999999997,64
CLTIND00229,regular,297.78,361.38,11,2392.89,17
CLTIND00231,dormant,13229.88,27616.45,9,3476.4350000000004,185
CLTIND00232,regular,3493.7,7070.26,9,1431.2,8
CLTIND00233,regular,1113.61,1382.15,15,710.11,21
CLTIND00234,regular,2550.26,2832.41,12,4785.982222222222,1
CLTIND00235,regular,3007.74,6825.59,11,3036.65,68
CLTIND00236,dormant,408.72,560.39,8,611.99,68
CLTIND00237,regular,4023.21,9681.89,10,1814.04,27
CLTIND00238,regular,8620.15,20929.15,15,2478.9466666666667,32
CLTIND00239,regular,1269.13,2720.51,11,3652.15,23
CLTIND00240,regular,525.26,874.98,15,2597.2775,31
CLTIND00243,dormant,486.76,745.88,5,1448.385,9
CLTIND00244,dormant,9745.43,21095.23,3,1918.89,1
CLTIND00245,priority,13234.66,15339.92,15,1432.41,1
CLTIND00246,dormant,1358.1,2128.76,4,1086.815,53
CLTIND00248,regular,2435.04,4087.9,11,3011.6190909090906,3
CLTIND00249,regular,16287.8,31311.44,14,3851.436,84
CLTIND00250,regular,5275.81,10534.38,9,1529.864,45
CLTIND00251,dormant,748.87,1093.08,9,4137.86,106
CLTIND00252,dormant,1731.44,2625.48,7,1926.3366666666668,28
CLTIND00253,dormant,19531.53,29717.64,7,6761.23,11
CLTIND00254,dormant,1790.96,4457.66,8,2416.8728571428574,8
CLTIND00255,regular,2794.19,6336.27,21,933.87,17
CLTIND00256,regular,1125.76,2597.01,10,2464.84,9
CLTIND00257,dormant,8211.41,9441.09,8,2560.5535,56
CLTIND00258,regular,3979.89,5128.4,9,2348.59,7
CLTIND00259,dormant,467.81,572.57,8,2348.5433333333335,20
CLTIND00260,priority,10666.42,12010.76,20,2178.425,20
CLTIND00261,regular,4339.87,5152.45,12,966.45,35
CLTIND00262,regular,977.88,2216.82,13,6917.1,63
CLTIND00263,priority,8338.17,17980.4,17,2822.721111111111,6
CLTIND00264,regular,375.47,486.67,15,5687.4400000000005,14
CLTIND00265,regular,3971.29,5196.51,19,3053.008333333333,6
CLTIND00266,dormant,724.37,824.48,8,3064.087142857143,77
CLTIND00268,regular,1132.84,2024.08,12,1939.56,12
CLTIND00269,dormant,1005.65,1692.17,5,2908.38,43
CLTIND00270,dormant,20726.43,43466.09,8,2436.63875,28
CLTIND00271,regular,1701.38,3193.45,10,1607.29,30
CLTIND00273,regular,3176.64,5401.03,10,3516.346666666667,67
CLTIND00274,regular,1195.99,2325.64,14,2974.925,19
CLTIND00275,dormant,101327.05,252692.84,11,869.755,173
CLTIND00277,dormant,921.54,1560.05,7,2014.9360000000001,68
CLTIND00278,regular,1810.83,2027.68,9,3389.3190000000004,75
CLTIND00279,regular,4994.28,9889.77,16,4092.4641666666666,72
CLTIND00280,regular,3872.11,6657.66,20,2313.17,4
CLTIND00281,dormant,8791.82,18248.22,6,5035.172857142857,1
CLTIND00282,regular,7294.75,15732.83,12,3189.4366666666665,76
CLTIND00283,regular,3122.38,7282.2,19,3161.4919999999997,33
CLTIND00284,dormant,508.6,1024.7,6,3853.975,2
CLTIND00285,regular,79902.81,128428.15,16,3553.646666666667,32
CLTIND00286,regular,51611.16,124917.58,19,5451.2,47
CLTIND00287,regular,10658.71,12187.65,9,3982.92,67
CLTIND00288,dormant,21142.67,44140.49,21,3541.3660000000004,0
CLTIND00290,regular,1819.47,4192.75,9,3648.87,53
CLTIND00291,regular,827.49,1966.01,14,3043.815,3
CLTIND00292,priority,11047.36,20075.61,20,1303.815,1
CLTIND00293,priority,4713.26,10828.31,15,4647.08,3
CLTIND00295,dormant,10211.04,17529.82,12,2984.0266666666666,104
CLTIND00297,dormant,491.39,1043.29,11,3247.84,159
CLTIND00300,priority,44867.1,84027.81,20,2898.5409090909093,17
CLTIND00301,dormant,284.52,566.9,7,253.95,56
CLTIND00302,regular,12994.27,31144.22,21,2360.174,78
CLTIND00303,regular,3421.76,8318.05,13,3883.185,11
CLTIND00304,dormant,2164.4,3529.51,5,8495.996666666668,19
CLTIND00305,regular,23962.47,33642.06,12,6126.83,18
CLTIND00306,regular,4600.97,10146.76,13,2576.895,36
CLTIND00308,regular,9744.86,23507.67,13,3464.98,36
CLTIND00309,regular,4617.38,7377.39,14,3204.53,10
CLTIND00311,dormant,437.61,982.65,7,3838.7599999999998,113
CLTIND00312,regular,21101.13,48831.32,10,3487.045,63
CLTIND00313,regular,3646.32,6194.13,11,3211.6625,78
CLTIND00314,regular,12225.04,21246.6,9,1365.255,35
CLTIND00316,regular,6184.63,8839.28,18,1139.13,21
CLTIND00317,dormant,1326.84,3224.28,8,3605.6866666666665,15
CLTIND00318,regular,2008.65,4541.62,15,2112.23,5
CLTIND00319,priority,8489.45,14658.94,15,2013.3225000000002,12
CLTIND00320,regular,1667.31,2579.44,26,1403.2066666666667,87
CLTIND00323,regular,2981.56,6396.63,14,3202.013333333334,26
CLTIND00324,dormant,1109.46,2591.57,5,1430.5,189
CLTIND00326,regular,389.64,708.39,14,4818.203333333334,12
CLTIND00327,regular,2917.07,6203.69,21,2616.1511111111113,2
CLTIND00330,dormant,3570.09,6998.69,6,3188.69,12
CLTIND00332,regular,5185.56,8556.09,10,2119.895,24
CLTIND00333,dormant,2193.85,4555.88,7,2616.12,19
CLTIND00334,regular,975.89,2126.07,20,2593.2366666666667,19
CLTIND00335,dormant,3995.87,7904.38,5,1155.1799999999998,4
CLTIND00336,regular,2802.08,4960.29,14,3348.76,11
CLTIND00337,dormant,4296.27,7926.33,12,700.53,129
CLTIND00338,dormant,2727.32,6199.87,7,2200.3900000000003,117
CLTIND00339,dormant,1222.53,2887.5,7,1594.175,15
CLTIND00340,priority,10191.9,20439.59,22,3031.2575,28
CLTIND00341,regular,108188.78,243327.4,12,1771.881666666667,6
CLTIND00342,regular,11523.25,13291.81,13,2506.025,52
CLTIND00343,dormant,3406.23,8064.76,7,1902.368333333333,18
CLTIND00344,dormant,10605.88,14840.6,5,1073.745,54
CLTIND00345,regular,1228.01,2058.37,14,1407.7833333333335,11
CLTIND00346,regular,15033.47,24569.4,9,3968.378181818182,18
CLTIND00347,regular,2650.34,3682.04,15,4264.518333333333,8
CLTIND00350,regular,2153.54,5181.15,17,3067.0014285714287,37
CLTIND00352,dormant,2302.99,3399.81,6,1961.115,16
CLTIND00353,dormant,6842.69,14369.74,2,2178.87,10
CLTIND00354,regular,1725.54,4179.1,14,3404.621428571428,9
CLTIND00355,regular,2191.41,5131.81,24,4897.075,29
CLTIND00356,regular,3229.99,3806.95,11,2376.435,68
CLTIND00357,regular,7968.95,11375.5,9,4062.8224999999998,1
CLTIND00358,regular,2817.75,4693.29,18,3447.435,5
CLTIND00359,dormant,4792.47,9859.9,8,2535.3383333333336,2
CLTIND00361,dormant,2804.48,3412.21,7,4844.860000000001,192
CLTIND00362,dormant,3931.68,4800.9,2,2972.66,1
CLTIND00363,dormant,1843.5,2747.29,5,6724.006666666667,36
CLTIND00364,regular,24766.09,50819.33,10,1513.46,17
CLTIND00365,dormant,1394.59,3461.82,13,3373.3199999999997,164
CLTIND00366,regular,1587.7,3012.74,25,5506.87,42
CLTIND00367,dormant,1559.2,3636.01,6,3124.486666666666,225
CLTIND00369,regular,3771.82,6996.9,15,4100.375,35
CLTIND00370,dormant,16652.35,25193.94,16,4342.965,116
CLTIND00371,dormant,8856.53,15175.24,5,3622.935,98
CLTIND00372,dormant,1518.64,2688.45,6,4244.58,50
CLTIND00373,dormant,3664.78,8236.67,7,3653.7349999999997,124
CLTIND00374,dormant,5823.74,14367.59,8,5169.41,21
CLTIND00375,dormant,3421.87,7922.2,2,2772.95,99
CLTIND00376,dormant,4039.83,6396.28,8,3249.8575,30
CLTIND00377,dormant,1075.24,2578.09,8,3940.43,20
CLTIND00378,priority,8104.46,10385.53,15,2992.24,22
CLTIND00379,dormant,4917.51,7709.29,27,817.27,94
CLTIND00380,regular,2984.42,4097.88,17,3218.30375,12
CLTIND00381,dormant,5401.54,8971.91,7,1697.3999999999999,36
CLTIND00383,dormant,5388.67,7468.63,6,2215.125,11
CLTIND00384,priority,8183.97,10580.28,16,2096.07,30
CLTIND00385,dormant,1517.39,1683.78,5,2987.5516666666667,21
CLTIND00386,dormant,1191.15,1574.46,10,3152.821,118
CLTIND00388,dormant,4421.92,8489.0,8,2777.903333333333,145
CLTIND00390,regular,9247.9,12302.74,13,4814.54,40
CLTIND00391,dormant,6956.04,10762.49,5,2633.31,49
CLTIND00392,regular,2193.39,3126.53,12,3728.455,13
CLTIND00393,regular,2713.21,5916.58,23,3532.025,21
CLTIND00394,dormant,3646.56,6154.02,6,2316.726666666667,30
CLTIND00395,regular,503.52,796.05,11,1034.305,68
CLTIND00396,dormant,1244.29,1926.69,18,2756.0699999999997,100
CLTIND00397,priority,6294.09,14863.58,13,3104.5466666666666,26
CLTIND00398,regular,2054.59,3684.3,11,1450.074,38
CLTIND00399,dormant,4787.35,11452.98,12,3501.74,93
CLTIND00400,dormant,23629.97,42716.56,3,2369.79,8
CLTIND00401,regular,4651.56,5439.86,15,2093.91,20
CLTIND00402,dormant,231.79,294.16,4,1725.985,82
CLTIND00403,dormant,11251.86,25328.01,8,2203.5379999999996,7
CLTIND00405,regular,6938.83,10997.14,9,1333.2775,87
CLTIND00406,dormant,1610.81,2668.35,5,3960.86,64
CLTIND00407,priority,20573.93,42056.4,24,2742.0628571428574,22
CLTIND00408,dormant,8651.98,21115.85,7,526.65,86
CLTIND00411,dormant,2187.11,4132.37,6,2636.965,34
CLTIND00412,dormant,909.58,1884.34,15,4525.346666666667,94
CLTIND00413,dormant,969.09,1840.51,4,1514.6149999999998,251
CLTIND00414,regular,642.74,1286.38,12,4176.975,51
CLTIND00415,dormant,2764.23,6394.89,16,6010.0,120
CLTIND00416,regular,645.16,1503.52,22,3286.3125,13
CLTIND00417,regular,3784.59,8908.36,9,3058.3633333333332,87
CLTIND00418,regular,602.8,1225.7,9,3157.556666666667,40
CLTIND00419,regular,8956.44,18318.53,11,2233.6,7
CLTIND00420,dormant,776.71,1691.44,1,3736.4900000000002,27
CLTIND00421,regular,3222.55,4125.79,20,3321.2216666666664,10
CLTIND00423,regular,6198.92,8061.11,12,2214.735,11
CLTIND00424,dormant,2024.91,3497.4,6,1912.56,240
CLTIND00425,regular,5322.21,9957.71,11,1690.9166666666667,42
CLTIND00426,regular,403.21,737.14,10,3347.1072727272726,22
CLTIND00427,regular,294.09,324.59,20,5119.055,30
CLTIND00428,dormant,1940.56,2765.17,4,4461.01375,32
CLTIND00429,regular,4492.79,10005.01,11,2284.74625,9
CLTIND00430,dormant,1923.25,3356.66,10,1041.9950000000001,113
CLTIND00431,regular,4137.84,7252.21,24,1400.81,70
CLTIND00432,regular,4294.93,8423.38,14,3028.76,39
CLTIND00434,dormant,1798.71,4177.21,11,1943.4399999999998,97
CLTIND00435,dormant,1769.19,2680.3,9,3338.975,119
CLTIND00436,regular,17978.81,26659.94,11,7937.6,27
CLTIND00437,dormant,601.46,911.68,11,697.36,133
CLTIND00438,regular,3267.63,4877.4,16,3164.7766666666666,5
CLTIND00439,regular,1215.45,2162.89,13,3939.7700000000004,43
CLTIND00440,regular,540.89,1041.65,15,2923.873333333333,74
CLTIND00441,regular,11755.93,13326.73,25,2110.72,40
CLTIND00442,dormant,1940.17,4538.82,4,2841.848,38
CLTIND00443,dormant,2932.94,3826.68,8,1146.635,3
CLTIND00444,dormant,212.03,446.18,7,2864.8033333333333,1
CLTIND00445,regular,3717.81,6271.24,13,1275.95,24
CLTIND00446,dormant,1738.83,2838.15,4,2289.34,11
CLTIND00447,regular,5603.48,6167.23,18,3510.0442857142857,7
CLTIND00448,regular,3522.01,4039.35,18,759.28,6
CLTIND00449,regular,3398.51,6926.25,10,3056.772,67
CLTIND00450,dormant,2215.82,2755.08,6,2646.6525,7
CLTIND00452,dormant,344.27,555.27,5,3514.3160000000003,64
CLTIND00455,regular,2803.09,6615.98,10,6173.986666666667,2
CLTIND00456,regular,1488.53,3202.86,14,4018.71,9
CLTIND00457,dormant,1623.85,2167.83,4,2811.3933333333334,4
CLTIND00458,regular,1290.74,1836.33,16,3022.9800000000005,40
CLTIND00459,regular,1129.46,1405.76,16,2498.3199999999997,1
CLTIND00460,dormant,4519.26,7076.2,8,2652.7428571428572,16
CLTIND00461,regular,6838.73,10862.42,11,4247.175555555556,35
CLTIND00462,regular,4614.59,6576.52,13,1807.48,36
CLTIND00463,dormant,555.5,926.24,8,2634.11875,6
CLTIND00464,regular,5089.49,8709.26,11,2376.266666666667,4
CLTIND00466,regular,556.43,1309.72,12,3763.7599999999998,7
CLTIND00467,regular,4130.39,9802.09,10,4483.663333333333,37
CLTIND00468,dormant,2459.94,5354.15,8,6504.360000000001,2
CLTIND00469,regular,1826.18,3491.44,10,2123.284,5
CLTIND00470,regular,3538.39,4411.48,13,4599.78,55
CLTIND00473,regular,3101.99,4588.88,9,2065.3925,56
CLTIND00475,regular,668.91,1214.15,10,1712.2366666666667,76
CLTIND00476,regular,1277.11,2498.48,10,4490.945,39
CLTIND00477,dormant,2864.68,6817.76,5,6360.096666666667,24
CLTIND00478,regular,1917.85,4675.3,9,2201.825,2
CLTIND00479,dormant,9405.67,16470.19,8,2769.822,14
CLTIND00480,regular,554.07,1379.91,10,2415.71,33
CLTIND00481,dormant,3805.66,9023.5,8,1731.87,2
CLTIND00483,regular,2511.85,2880.04,15,2816.64875,55
CLTIND00484,regular,1016.83,1373.5,14,2970.1775,25
CLTIND00485,regular,491.58,861.84,9,5507.451666666667,84
CLTIND00486,dormant,505.43,976.26,2,1764.3233333333335,124
CLTIND00487,regular,6682.61,15526.16,11,2005.465,21
CLTIND00488,priority,29653.96,59700.58,17,3517.782,17
CLTIND00489,regular,2907.03,4275.95,11,2208.7975,39
CLTIND00490,regular,6623.79,12404.0,9,3372.543,27
CLTIND00491,regular,2794.96,4227.72,10,2848.3849999999998,12
CLTIND00493,priority,9874.91,15296.55,13,2276.508,1
CLTIND00495,regular,960.26,1389.71,13,4205.863333333334,2
CLTIND00496,dormant,1858.57,2948.92,7,2761.7233333333334,4
CLTIND00497,dormant,1877.04,3562.75,6,2040.7366666666667,26
CLTIND00498,dormant,5574.41,11495.93,5,2551.187142857143,112
CLTIND00499,regular,2391.83,5836.54,10,4038.0433333333335,17
CLTIND00500,regular,1007.72,1930.79,10,1490.6966666666667,19
CLTIND00502,regular,734.8,1756.86,13,5907.905000000001,45
CLTIND00503,regular,3191.12,4535.75,15,5073.27,12
CLTIND00505,regular,6689.62,16035.48,9,4217.715,57
CLTIND00506,dormant,1096.77,1890.15,6,3416.66,70
CLTIND00507,priority,5084.78,10863.16,19,1354.4199999999998,15
CLTIND00508,regular,8517.72,12121.87,10,4624.66,21
CLTIND00510,regular,3539.47,5152.5,16,1951.9900000000002,3
CLTIND00511,dormant,5769.3,14333.44,8,197.57,41
CLTIND00512,dormant,33075.68,70821.15,13,3091.4075000000003,207
CLTIND00513,dormant,2741.25,4137.77,5,3423.7333333333336,40
CLTIND00514,dormant,3062.15,5354.32,16,1650.7549999999999,128
CLTIND00515,dormant,1056.59,1314.33,4,4050.1525,97
CLTIND00517,dormant,33770.74,68953.11,7,3115.935,134
CLTIND00520,dormant,14372.9,35201.17,9,2883.535,120
CLTIND00521,regular,7528.15,10186.38,13,1903.4242857142856,47
CLTIND00522,dormant,2479.26,3021.19,5,6819.18,56
CLTIND00523,regular,2190.39,2507.61,17,18754.21,13
